Article Code,Article Description,EAN Code,Brand,Category,Sub-category,Range,Pack Size
MAM0472,Rosemary Anti-Hair Fall Shampoo 250ml,8904417307740.0,Mamaearth,Hair,Shampoo,Rosemary,250.0
THE0431,10% Niacinamide Serum 30ml,8906087772040.0,The Derma Co.,Face,Face Serum,Niacinamide,30.0
MAM0129,Moisturizing Bathing Bar Soap For Babies pack of 2*75gm,8906087771180.0,Mamaearth,Baby,Baby Soap,Solution Oriented,150.0
417967.0,Rosemary Hair Growth Oil 100ml,8904417308099.0,Mamaearth,Hair,Hair Oil,Rosemary,100.0
380159.0,3% Niacinamide Foaming Face Wash,8906087774808.0,The Derma Co.,Face,Face Cleanser,Niacinamide,100.0
361166.0,Ubtan Face Mask for Skin Lightening & Brightening 100ml,8906087771326.0,Mamaearth,Face,Face Masks,Ubtan,100.0
492367803.0,Vitamin C Bamboo Sheet Mask,8906087773535.0,Mamaearth,Face,Face Masks,Vitamin C,250.0
376763.0,3% AHA-BHA Foaming Face Wash 100ml,8906087772019.0,The Derma Co.,Face,Face Cleanser,AHA-BHA,100.0
491938243.0,Onion Conditioner for Hair Growth and Hair Fall Control with Onion and Coconut 400ml,8906087772170.0,Mamaearth,Hair,Conditioner,Onion,400.0
492367802.0,Ubtan Bamboo Sheet Mask,8906087773474.0,Mamaearth,Face,Face Masks,Ubtan,250.0
491452142.0,Dusting Powder for Babies 150gm,8906087770558.0,Mamaearth,Baby,Dusting Powder,Solution Oriented,150.0
417585.0,Detan+ Smoothie Face Wash,8904417306514.0,Aqualogica,Face,Face Cleanser,Detan+,100.0
451788.0,Ceramide and Vitamin C Oil-Free Moisturizer - 50 gm,8906148700302.0,Dr. Sheth's,Face,Moisturisers,Ceramide & Vitamin C,50.0
451789.0,Ceramide & Vitamin C Oil Free Moisturizer -100gm,8906148700906.0,Dr. Sheth's,Face,Moisturisers,Ceramide & Vitamin C,100.0
451786.0,Ceramide & Vitamin C Sunscreen - 50 gm,8906148700029.0,Dr. Sheth's,Face,Sun Care,Ceramide & Vitamin C,50.0
442564.0,96 Snail Mucin Peptide Serum,8904417311495.0,The Derma Co.,Face,Face Serum,Snail Mucin,80.0
MAM0488,Onion Shampoo for Hair Growth and Hair Fall Control with Onion Oil and Plant Keratin 400ml,8906087772187.0,Mamaearth,Hair,Shampoo,Onion,400.0
494409832.0,Baby Natural Mosquito Repellent Gel 100 ml,8904417311655.0,Mamaearth,Baby,Mosquito Protection,Solution Oriented,100.0
491938260.0,Onion Hair Serum with Onion & Biotin for Strong Frizz-Free Hair Ã¯Â¿Â½ 100 ml,8906087772378.0,Mamaearth,Hair,Hair Serum,Onion,100.0
390378.0,HydraGel Indian Sunscreen with Aloe Vera & Raspberry for Sun Protection - 50 g,8906087772941.0,Mamaearth,Face,Sun Care,Aloe Vera,50.0
376767.0,2% Salicylic Acid Mask,8906087774495.0,The Derma Co.,Face,Face Masks,Salicylic Acid,50.0
417580.0,Glow+ Smoothie Face Wash 100ml,8906087778110.0,Aqualogica,Face,Face Cleanser,Glow+,100.0
493725525.0,Vitamin C Daily Glow Face Serum 30 ml,8904417305838.0,Mamaearth,Face,Face Serum,Vitamin C,30.0
376758.0,30% AHA + 2% BHA Peeling Solution 30 ml,8906087774105.0,The Derma Co.,Face,Face Serum,AHA-BHA,30.0
451790.0,DS Kesar & Kojic Acid Moisturizing Cream - 100g,8906148701521.0,Dr. Sheth's,Face,Face Cream,Kesar & Kojic Acid,100.0
376762.0,5% Caffeine serum 15 ml,8906087773863.0,The Derma Co.,Face,Face Serum,Caffeine,15.0
451787.0,Kesar & Kojic Acid Sunscreen - 50 gm,8906148700883.0,Dr. Sheth's,Face,Sun Care,Kesar & Kojic Acid,50.0
561836.0,0.1 Retinol Serum,8906087774488.0,The Derma Co.,Face,Face Serum,Retinol,30.0
492506706.0,Aqua Glow Hydrating Sunscreen Gel 50 g,8906087776413.0,Mamaearth,Face,Sun Care,Aqua,50.0
427604.0,Hibiscus Damage Repair Conditioner 250 ml,8904417312430.0,Mamaearth,Hair,Conditioner,Hibiscus,250.0
562819.0,2% Alpha Arbutin Face Serum,8906087774624.0,The Derma Co.,Face,Face Serum,Arbutin,30.0
492506704.0,Vitamin C Oil-Free Face Moisturizer 80 g,8906087775522.0,Mamaearth,Face,Moisturisers,Vitamin C,80.0
394576.0,BBLUNT SALON SECRET CREME COLOUR CHOCOLATE,8901023015342.0,BBLUNT,Salon Secret,Salon Secret,Salon Secret,100.0
396110.0,Glow Oil Control Compact / 01 Ivory Glow 9 g,8906087778639.0,Mamaearth,Color Care,Compact,Oil Control,9.0
420085.0,The Derma Co. 2% Niacinamide Hydrating BB Cream,8904417303148.0,The Derma Co.,Color Care,BB Cream,Niacinamide,30.0
491938271.0,Vitamin C Face Cream with Vitamin C & SPF 20 for Skin Illumination Ã¯Â¿Â½ 50g,8906087773016.0,Mamaearth,Face,Face Cream,Vitamin C,50.0
385057.0,Vitamin C Night Cream 50 g,8906087775577.0,Mamaearth,Face,Face Cream,Vitamin C,50.0
415326.0,Honey Malai Oil Free Face Moisturiser 80 g,8904417303674.0,Mamaearth,Face,Moisturisers,Honey Malai,80.0
570656.0,Glow+ Oil Free Moisturizer 100ml,8906087779872.0,Aqualogica,Face,Moisturisers,Glow+,100.0
396134.0,Glow Full Coverage Compact /02 Ivory Glow 9 g,8904417309003.0,Mamaearth,Color Care,Compact,Full Cover,9.0
396111.0,Glow Oil Control Compact / 02 Creme Glow 9 g,8906087778646.0,Mamaearth,Color Care,Compact,Oil Control,9.0
102020145.0,Vitamin C Foaming Face Wash,8906087773115.0,Mamaearth,Face,Face Cleanser,Vitamin C,150.0
396135.0,Glow Oil Control Compact / 03 Nude Glow 9 g,8906087778653.0,Mamaearth,Color Care,Compact,Oil Control,9.0
557030.0,Vitamin C Face Toner with Vitamin C & Cucumber for Pore Tightening 200 ml,8906087772484.0,Mamaearth,Face,Face Toner,Vitamin C,200.0
558831.0,Hot Shot Finish Spray 200 ml,8906087779513.0,BBLUNT,Styling Products,Hair Spray,Hot Shot,200.0
492367798.0,Vitamin C Body Wash 300 ml,8906087774761.0,Mamaearth,Body,Body Wash,Vitamin C,300.0
493654976.0,Intense Moisture Conditioner 250 g,8904417302745.0,BBLUNT,Hair Care,Conditioner,Intense Moisture,250.0
MAM0156,Nourishing Hair Oil for babies 100ml,8906087770510.0,Mamaearth,Baby,Hair Oil,Solution Oriented,100.0
378032.0,Vitamin C Face Scrub 100 g,8906087775126.0,Mamaearth,Face,Face Scrub,Vitamin C,100.0
494337205.0,Beetroot Hydraful Moisturizer 50 ml,8904417312133.0,Mamaearth,Face,Moisturisers,Beetroot,50.0
574805.0,4% Ceramide Barrier Repair Moisturizer,8904417311327.0,The Derma Co.,Face,Moisturisers,Ceramide,50.0
376775.0,Ubtan Body Wash 300 ml,8906087774754.0,Mamaearth,Body,Body Wash,Ubtan,300.0
394581.0,BBLUNT SALON SECRET CREME COLOUR WINE,8901023015380.0,BBLUNT,Salon Secret,Salon Secret,Salon Secret,100.0
493111439.0,Aloe Vera Face Wash 100 ml,8906087778455.0,Mamaearth,Face,Face Cleanser,Aloe Vera,100.0
393913.0,Mineral Based Sunscreen 50ml,8906087771203.0,Mamaearth,Baby,Sun Care,Solution Oriented,50.0
A00550,The Derma Co 10% Niacinamide Serum 10 ml,8906087775058.0,The Derma Co.,Face,Face Serum,Niacinamide,10.0
MAM0341,Natural Mosquito Repellent Patches 24pcs,8906087770640.0,Mamaearth,Baby,Mosquito Protection,Solution Oriented,24.0
P77490,Onion Hair Oil 100 ml,8906087775812.0,Mamaearth,Hair,Hair Oil,Onion,100.0
493658400.0,Ubtan Face Wash 50 ml,8906087778233.0,Mamaearth,Face,Face Cleanser,Ubtan,50.0
493680599.0,Multani Mitti Face Wash 100 ml,8904417306439.0,Mamaearth,Face,Face Cleanser,Multani Mitti,100.0
MAM0492,Rice Water Moisturizing Body Wash 275ml,8904417315660.0,Mamaearth,Body,Body Wash,Rice Water,275.0
494409835.0,Aloe Vera Moisturizing Body Wash 275ml,8904417315677.0,Mamaearth,Body,Body Wash,Aloe Vera,275.0
THE0553,TDC 2% Niacinamide Oily Skin Cleanser,8904417309188.0,The Derma Co.,Face,Face Cleanser,Niacinamide,125.0
MAM0128,Soothing Massage Oil 100ml,8906087770084.0,Mamaearth,Baby,Massage Oil,Solution Oriented,50.0
398276.0,4% Vitamin E Face Serum,8906087776451.0,The Derma Co.,Face,Face Serum,Vitamin E,30.0
393901.0,Foaming Facewash for Kids 120ml,8906087770626.0,Mamaearth,Baby,Kids Face Wash,Solution Oriented,120.0
564441.0,15% AHA+1% BHA Beginner Face Peeling Solution,8906087775706.0,The Derma Co.,Face,Face Serum,AHA-BHA,30.0
M1599,Vitamin C Body Lotion 400ml,8906087773795.0,Mamaearth,Body,Body Lotion,Vitamin C,400.0
568992.0,Rice Day Cream 50 g,8906087779322.0,Mamaearth,Face,Face Cream,Rice,50.0
361174.0,Anti Mosquito Body Roll On 40ml,8906087770701.0,Mamaearth,Baby,Mosquito Protection,Solution Oriented,40.0
411878.0,Skin Illuminate Sunscreen Gel 50 g,8904417300116.0,Mamaearth,Face,Sun Care,Vitamin C,50.0
429390.0,2% Vitamin C Gel Daily Face Wash 80 ml,8904417307771.0,The Derma Co.,Face,Face Cleanser,Vitamin C,80.0
361148.0,Aloe Turmeric Gel for Skin & Hair 300ml (Saver Pack get 20% extra),8906087771791.0,Mamaearth,Body,Body Gel,Aloe Vera,300.0
434030.0,Oil-Free Daily Face Wash,8906087779308.0,The Derma Co.,Face,Face Cleanser,Glycolic Acid,100.0
MAM0493,Vitamin C Moisturizing Body Wash 275ml (250ml + 25ml),8904417315738.0,Mamaearth,Body,Body Wash,Vitamin C,275.0
574804.0,TDC 1% Ceramide Complex Lip Balm,8904417309799.0,The Derma Co.,Face,Lip Balm,Ceramide,4.0
574275.0,1% Salicylic Acid Oil-Free Face Moisturizer,8906087776024.0,The Derma Co.,Face,Moisturisers,Salicylic Acid,50.0
THE0426,2%Ã¯Â¿Â½Kojic Acid Face Serum,8906087776604.0,The Derma Co.,Face,Face Serum,Kojic Acid,30.0
THE0524,Sali-Cinamide Anti-Acne Face Wash,8904417306576.0,The Derma Co.,Face,Face Cleanser,Sali-Cinamide,80.0
THE0472,1% Kojic Acid Daily Face Wash,8904417306248.0,The Derma Co.,Face,Face Cleanser,Kojic Acid,100.0
102205417.0,Fruit Punch Toothpaste For Kids,8906087773375.0,Mamaearth,Baby,Oral,Fruit Punch,50.0
494410792.0,Ultra Light Indian Sunscreen 50 g,8904417311440.0,Mamaearth,Face,Sun Care,Vitamin C,50.0
M1755,Onion Shampoo 100 ml,8906087778776.0,Mamaearth,Hair,Shampoo,Onion,100.0
1097657,Ubtan Body Lotion 400ml,8906087773818.0,Mamaearth,Body,Body Lotion,Ubtan,400.0
MAM0481,Nourishing tinted 100%Natural Lip Balm VitE & sheabutter,8904417303322.0,Mamaearth,Face,Lip Balm,Shea Butter,4.0
493695878.0,Vitamin C Daily Glow Cream 80 g,8904417301762.0,Mamaearth,Face,Face Cream,Vitamin C,80.0
419662.0,CoCo Face Wash with Coffee & Cocoa for Skin Awakening Ã¯Â¿Â½ 100ml,8906087772583.0,Mamaearth,Face,Face Cleanser,Coco,100.0
491938240.0,Tea Tree Shampoo for Dandruff Free Hair - 250ml,8906087771845.0,Mamaearth,Hair,Shampoo,Tea Tree,250.0
492367795.0,Rice Water Shampoo 250 ml,8906087775089.0,Mamaearth,Hair,Shampoo,Rice,250.0
494411840.0,ME Beetroot Hydraful Sunscreen 50 g,8904417312867.0,Mamaearth,Face,Sun Care,Beetroot,50.0
MAM0169,Milky Soft Bathing Bar For Babies (75 g*2),8906087776215.0,Mamaearth,Baby,Baby Soap,Milky,150.0
MAM0473,Rosemary Hair Growth Oil 150ml,8904417307764.0,Mamaearth,Hair,Hair Oil,Rosemary,150.0
493111442.0,Ubtan Sunscreen Body Lotion 300 ml,8906087779261.0,Mamaearth,Body,Body Lotion,Ubtan,300.0
493695876.0,Ubtan Facial Kit,8904417302318.0,Mamaearth,Face,Facial Kit,Ubtan,60.0
493725504.0,Pore Minimizing Priming Sunscreen,8904417303131.0,The Derma Co.,Face,Sun Care,Niacinamide,50.0
494410789.0,Beetroot Gentle Face Wash 100 ml,8904417311549.0,Mamaearth,Face,Face Cleanser,Beetroot,100.0
493658401.0,ME Vitamin C Daily Glow Face Wash 50 ml,8906087778240.0,Mamaearth,Face,Face Cleanser,Vitamin C,50.0
MAM0441,Coco Soft Bathing Bar For Babies (75 g*2),8904417300659.0,Mamaearth,Baby,Baby Soap,Coco Soft,150.0
378031.0,Charcoal Body Wash 300 ml,8906087774723.0,Mamaearth,Body,Body Wash,Charcoal,300.0
564062.0,Mamaearth Cherry Tinted 100% Natural Lip Balm,8906087776932.0,Mamaearth,Face,Lip Balm,Cherry,2.0
394580.0,Bblunt Salon Secret Creme Colour Cherry Red,8901023025693.0,BBLUNT,Salon Secret,Salon Secret,Salon Secret,100.0
331289.0,BBLUNT SALON SECRET CREME COLOUR MAHOGANY,8901023015373.0,BBLUNT,Salon Secret,Salon Secret,Salon Secret,100.0
394579.0,BBLUNT SALON SECRET CREME COLOUR BLACK,8901023015328.0,BBLUNT,Salon Secret,Salon Secret,Salon Secret,100.0
494337204.0,ME Baby Rich Moisturizing Ultra Light Sunscreen 50 g,8904417313673.0,Mamaearth,Baby,Sun Care,Solution Oriented,50.0
419156.0,Moisturizing Daily Lotion For Babies 100 ml,8906087770893.0,Mamaearth,Baby,Body Lotion,Solution Oriented,100.0
102205427.0,Coco Soft Face Cream For Babies 60 g,8904417300673.0,Mamaearth,Baby,Moisturisers,Coco Soft,60.0
491938294.0,Aloe Vera Gel with Pure Aloe Vera & Vitamin E for Skin and Hair - 300ml,8906087772439.0,Mamaearth,Body,Body Gel,Aloe Vera,300.0
542395.0,Salon Secret High Shine CrÃ¨me Hair Colour Chocolate Dark Brown 108 g,8906087779421.0,BBLUNT,Hair Colour,Creme Hair Colour,Salon Secret,108.0
564061.0,Mamaearth Rose Tinted 100% Natural Lip Balm,8906087776895.0,Mamaearth,Face,Lip Balm,Rose,2.0
568670.0,SS 5 MIN s HC-C Dark BROWN(20 ml * 5),8904417302073.0,BBLUNT,Hair Colour,5 Minute Shampoo,Salon Secret,100.0
493695854.0,Rice Oil-Free Face Moisturizer 80 g,8906087779216.0,Mamaearth,Face,Moisturisers,Rice,80.0
494609314.0,Kojic Acid + L-Glutathione Daily Syndet Soap 75g x 2 (Pack of 2),8904417300123.0,The Derma Co.,Body,Soap,Kojic Acid,150.0
THE0471,TDC 1% Kojic Acid Lip Balm,8904417308501.0,The Derma Co.,Face,Lip Balm,Kojic Acid,4.5
393921.0,"ME Baby after bite roll - on, 40 ml",8906087770541.0,Mamaearth,Baby,Mosquito Protection,Solution Oriented,40.0
393899.0,Tea Tree Face Scrub,8906087773146.0,Mamaearth,Face,Face Scrub,Tea Tree,100.0
542391.0,Salon Secret High Shine CrÃ¨me Hair Colour Black Natural Black 108 g,8906087779476.0,BBLUNT,Hair Colour,Creme Hair Colour,Salon Secret,108.0
394577.0,BBLUNT SALON SECRET CREME COLOUR COFFEE,8901023015359.0,BBLUNT,Salon Secret,Salon Secret,Salon Secret,100.0
571037.0,Honey Malai Facewash,8904417302325.0,Mamaearth,Face,Face Cleanser,Honey Malai,100.0
390292.0,1% Salicylic Acid Gel Face Wash 30 ML,8906087776437.0,The Derma Co.,Face,Face Cleanser,Salicylic Acid,30.0
393878.0,Epsom Bath Slat + Rich Body Creme,8906087772408.0,Mamaearth,Body,Combo,Solution Oriented,300.0
394847.0,Aloe Vera Day Cream 50 g,8906087778509.0,Mamaearth,Face,Face Cream,Aloe Vera,50.0
M1760,Onion Hair Oil 50 ml,8906087778271.0,Mamaearth,Hair,Hair Oil,Onion,50.0
493655250.0,Radiance+ Face Wash,8906087779377.0,Aqualogica,Face,Face Cleanser,Radiance+,100.0
436144.0,Multani Mitti Moisturizing Lotion Soap (3 + 1 Free) (125g x 4),8904417311693.0,Mamaearth,Body,Soap,Multani Mitti,500.0
393898.0,Oil-Free Face Wash 100 ml,8906087777762.0,Mamaearth,Face,Face Cleanser,Apple Cider Vinegar,100.0
492411044.0,ME Charcoal Black Long Stay Kajal 0.35 g,8906087776758.0,Mamaearth,Color Care,Kajal,Kajal,0.35
396128.0,Mamaearth Naturally Matte Lip Serum / 04 Chirpy Cherry,8906087777939.0,Mamaearth,Color Care,Liquid Lipstick,Naturally Matte,3.0
MAM0350,ME Baby Mineral Based Sunscreen 100g,8906087770121.0,Mamaearth,Baby,Sun Care,Solution Oriented,100.0
572885.0,Illuminate+ Oil Free Moisturizer 100g,8904417307481.0,Aqualogica,Face,Moisturisers,Illuminate+,100.0
MAM0503,Lemon Anti-Dandruff Shampoo 250 ml,8904417305043.0,Mamaearth,Hair,Shampoo,Lemon,250.0
385473.0,Ubtan Oil-Free Face Moisturizer 80 ml,8906087776536.0,Mamaearth,Face,Moisturisers,Ubtan,80.0
568993.0,Rice Face Scrub 100 g,8906087779124.0,Mamaearth,Face,Face Scrub,Rice,100.0
398283.0,Pore Minimizing Daily Face Moisturizer,8906087778059.0,The Derma Co.,Face,Moisturisers,Niacinamide,50.0
MAM0144,Bye Bye Dark Circles Eye Cream with Cucumber & Peptides for Dark Circles Ã¯Â¿Â½ 20ml,8906087771982.0,Mamaearth,Face,Under Eye Care,Solution Oriented,20.0
570662.0,Radiance+ Jello Moisturizer 50gm,8906087779391.0,Aqualogica,Face,Moisturisers,Radiance+,50.0
398278.0,The Derma Co. 2% BHA Exfoliant Solution,8906087777649.0,The Derma Co.,Face,Face Serum,Salicylic Acid,50.0
570980.0,Anti-Dandruff Shampoo 300 ml,8904417305098.0,BBLUNT,Hair Care,Shampoo,Anti Dandruff,300.0
1312396,Ubtan Foaming Face Wash 150 ml,8906087775188.0,Mamaearth,Face,Face Cleanser,Ubtan,150.0
491472720.0,Deeply Nourishing Body Wash for babies 400ml,8906087770459.0,Mamaearth,Baby,Baby Body Wash,Solution Oriented,400.0
391586.0,The Derma Co. 1% Collagen Daily Face Serum-Cream 50 gm,8906087777700.0,The Derma Co.,Face,Cream,Collagen,50.0
MAM0449,Nourishing tinted 100%Natural Lip Balm VitE & raspberry,8904417303315.0,Mamaearth,Face,Lip Balm,Raspberry,4.0
MAM0521,Nourishing tinted 100%Natural Lip Balm VitE & Strawbery,8904417303308.0,Mamaearth,Face,Lip Balm,Strawberry,4.0
398282.0,Pore Minimizing Clay Daily Face Wash,8906087778066.0,The Derma Co.,Face,Face Cleanser,Niacinamide,100.0
384569.0,Charcoal Face Scrub For Oily Skin & Normal skin with Charcoal & Walnut for Deep Exfoliation Ã¯Â¿Â½ 100g,8906087772477.0,Mamaearth,Face,Face Scrub,Charcoal,100.0
398281.0,The Derma Co. 2% Vitamin C Gel Face Wash,8906087777038.0,The Derma Co.,Face,Face Cleanser,Vitamin C,100.0
427507.0,ME Beetroot Tinted 100%Natural LipBalm2g,8904417310030.0,Mamaearth,Face,Lip Balm,Beetroot,2.0
429371.0,C-Cinamide R Sunscreen AquaGel 50g,8904417306163.0,The Derma Co.,Face,Sun Care,C-Cinamide,50.0
399491.0,The Derma Co. 2% Cica-Glow Daily Face Wash 100ml,8906087778547.0,The Derma Co.,Face,Face Cleanser,Cica,100.0
570660.0,AQ hydrate+ dewy Sunscreen SPF 50 50g,8906087777090.0,Aqualogica,Face,Sun Care,Hydrate+,50.0
494411838.0,Rice Dewy Bright Sunscreen SPF 50 50g,8904417313420.0,Mamaearth,Face,Sun Care,Rice,50.0
568998.0,Rice Gel Face Moisturizer 100 ml,8906087779353.0,Mamaearth,Face,Moisturisers,Rice,100.0
419151.0,Onion Shampoo 200 ml,8906087775829.0,Mamaearth,Hair,Shampoo,Onion,200.0
399182.0,The Derma Co. 5% Vitamin C Daily Face Serum,8906087778684.0,The Derma Co.,Face,Face Serum,Vitamin C,30.0
492411036.0,Mamaearth Tea Tree Foaming Face Wash 150 ml,8906087774259.0,Mamaearth,Face,Face Cleanser,Tea Tree,150.0
399181.0,ANTI-HAIR FALL SHAMPOO 200 ml,8906087772965.0,The Derma Co.,Hair,Shampoo,Generic,200.0
493843355.0,Glow+ Dewy Sunscreen 80gm,8904417306224.0,Aqualogica,Face,Sun Care,Glow+,80.0
542398.0,Salon Secret High Shine CrÃ¨me Hair Colour Coffee Natural Brown 108 g,8906087779438.0,BBLUNT,Hair Colour,Creme Hair Colour,Salon Secret,108.0
394573.0,INTENSE MOISTURE SHAMPOO 200 ML,8901023019579.0,BBLUNT,Premium Range,Shampoo,Intense Moisture,200.0
424286.0,Onion Conditioner 100 ml,8906087778783.0,Mamaearth,Hair,Conditioner,Onion,100.0
386261.0,Plant-Based Multipurpose Cleanser for Babies Ã¯Â¿Â½ 500ml,8906087772927.0,Mamaearth,Baby,Hygiene,Solution Oriented,500.0
MAM0167,Milky Soft Body Lotion For Babies 400 ml,8906087776123.0,Mamaearth,Baby,Body Lotion,Milky,400.0
419152.0,Onion Conditioner 200 ml,8906087775836.0,Mamaearth,Hair,Conditioner,Onion,200.0
MAM0159,BhringAmla Shampoo with Bhringraj & Amla for Intense Hair Treatment Ã¯Â¿Â½ 250 ml,8906087772897.0,Mamaearth,Hair,Shampoo,Bhringamla,250.0
